version,source,metric_basis,start,end,total_return,annualized_return,benchmark_return,benchmark_annualized,excess_return,alpha_ann,beta,sharpe,benchmark_sharpe,sortino,information_ratio,tracking_error,volatility,max_drawdown,calmar,daily_win_rate,daily_pl_ratio,trade_win_rate,trade_pl_ratio,profit_factor,note
v2.1,jq_screenshot,joinquant_reported,2018-01-01,2025-12-31,0.8828,0.0849,0.1486,,0.6391,0.061,0.744,0.269,,0.386,0.685,,0.166,0.327,,0.519,2.218,,,,聚宽截图录入；非本地重算
v3,jq_screenshot,joinquant_reported,2019-01-01,2025-12-31,1.7764,0.1621,0.5379,,0.8054,0.103,0.737,0.727,,1.029,0.919,,0.168,0.2122,,0.518,2.708,,,,聚宽截图录入；当前聚宽实测最优
v4,jq_screenshot,joinquant_reported,2019-01-01,2025-12-31,1.3809,0.1361,0.5379,,0.5482,0.077,0.751,0.516,,0.762,0.551,,0.186,0.2611,,0.493,2.144,,,,聚宽截图录入；v4 导出另有可重算行
v5,jq_screenshot,joinquant_reported,2019-01-01,2025-12-31,1.399,0.1374,0.5379,,0.5599,0.079,0.726,0.591,,0.844,0.693,,0.165,0.1653,,0.523,2.754,,,,聚宽截图录入；降低回撤但收益未超过 v3
v2.1,jq_export_local_pool_benchmark,daily_plus_trade_export,2018-01-02,2025-12-31,0.8844205715048294,0.08569524961086916,1.5677469365246357,0.13017261103619981,-0.6833263650198063,-0.010348221624223717,0.749365139084523,0.5756593655949308,0.7147711918906475,0.8159120945060871,-0.508034914042781,0.0905238512007335,0.16713673636107218,0.3270328082546763,0.26203869290121534,0.5082389289392379,1.068502092199384,0.6178343949044586,1.3719264295011295,2.2179477276934927,聚宽导出日净值；Alpha/Beta 用本地等权池近似基准重算
v4,jq_export_local_pool_benchmark,daily_plus_trade_export,2019-01-02,2025-12-31,1.388657614875259,0.13785978473654215,2.1972994566119923,0.18814855621566862,-0.8086418417367334,0.0008410821647357588,0.7696535943589325,0.784431056426996,0.9782937124160295,1.1805304423723872,-0.352673651304098,0.12135636417116072,0.18695816430814402,0.2611327126322721,0.5279299684320927,0.5020600353148911,1.13309974341757,0.6457142857142857,1.1765931725832943,2.14443594357923,聚宽导出日净值；Alpha/Beta 用本地等权池近似基准重算
v3,local_recalc_equal_weight_benchmark,daily_calculated,2019-01-02,2025-12-31,2.853434422762002,0.22150278338419271,2.195429313289605,0.18804545170090647,0.6580051094723971,0.06764602717548014,0.8137474420348952,1.0386620931166959,0.9871755563385348,1.408229546814349,0.21297979339456755,0.1504847892745777,0.21485912252632514,0.19553081343137835,1.1328280156821893,0.5161859917598587,1.146721300048904,,,,本地复算；v3 聚宽策略形态
v4,local_recalc_equal_weight_benchmark,daily_calculated,2019-01-02,2025-12-31,3.9481110729500006,0.2676548532131686,2.195429313289605,0.18804545170090647,1.7526817596603959,0.10252343387243082,0.830814858582414,1.1899676719625856,0.9871755563385348,1.6561623315478489,0.45863022986554686,0.15304154531266737,0.21959023918225226,0.18254909845711276,1.4662074777435847,0.5155974102413184,1.1701456036280375,,,,本地复算；v4 集中化版本
v5,local_recalc_equal_weight_benchmark,daily_calculated,2019-01-02,2025-12-31,3.1407986428699344,0.23460344530169674,2.195429313289605,0.18804545170090647,0.9453693295803296,0.08314053030514701,0.769398883419481,1.1686363907570105,0.9871755563385348,1.615636304402665,0.2864500878854314,0.13639029471235206,0.1969687238283335,0.14190771018480663,1.653211407584354,0.5267804590935845,1.1163505880747226,,,,本地复算；质量半权重+动量过滤
